dataset,method,alpha,param,declared_T,path,error,shape,runs,T,regret_mean,regret_std,time_mean,time_std
GrQc,PRB,0.85,powT50,10000,results/online_link_prediction/Grqc_PRB_alpha0.85_powT50_T10000_lr10.01_lr20.004_202601260241,,10x10000x5,10,10000,6331.9,786.9731189818366,2066.3889454603195,283.57253444555795
GrQc,PRB,0.85,powT50,10000,results/online_link_prediction/Grqc_PRB_alpha0.85_powT50_T10000_lr10.01_lr20.004_202601291452,,10x10000x5,10,10000,4201.2,307.45920054537316,5449.752326631546,7.607804588837886
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202605111132,,10x10000x5,10,10000,2068.9,45.34853911649194,3752.9218374967577,22.223549615836173
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH0_initK0_lr10.0073_lr20.0004_h100_ks40_202605111518,,10x10000x5,10,10000,2060.6,51.04742892644056,1799.740886926651,7.531205292147506
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH1_initK1_lr10.0073_lr20.0004_h100_ks40_202605110944,,10x10000x5,10,10000,2069.7,36.52410163166235,4473.7356058835985,55.63236610610014
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH1_initK3_lr10.0073_lr20.0004_h100_ks40_202605111132,,10x10000x5,10,10000,2063.9,59.89065035546033,3744.7677389144897,16.244123765944572
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH1_initK5_lr10.0073_lr20.0004_h100_ks40_202605111132,,10x10000x5,10,10000,2052.0,44.799553569204235,3744.331963300705,12.982755853577546
MovieLens,FastPRB,0.15,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.15_eps8.33e-05_T10000_k10_initH1_initK5_lr10.0073_lr20.0004_h100_ks40_202605111550,,10x10000x5,10,10000,2060.6,51.04742892644056,1799.2618620872497,6.484009601648749
MovieLens,FastPRB,0.6,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.6_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601280037,,10x10000x5,10,10000,2074.0,56.10347582815168,2188.1826634168624,141.0023455171244
MovieLens,FastPRB,0.7,eps8.33e-05,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.7_eps8.33e-05_T10000_lr10.0073_lr20.0004_202601280037,,10x10000x5,10,10000,2074.0,56.10347582815168,2193.8092835664747,129.03692210027745
MovieLens,FastPRB,0.85,eps0.000833,10000,results/online_link_prediction/MovieLens_FastPRB_alpha0.85_eps0.000833_T10000_lr10.0073_lr20.0004_202601270125,,10x10000x5,10,10000,2665.8,61.21568426473725,3983.6254939079286,606.3203239234724
