path,entry_type,category,dataset,method,T,alpha,param,created,has_final_results,file_count,total_bytes,notes
results/baselines_new/Amazon_NeuralTS_regret.npy,baselines_new_file,baseline,Amazon,NeuralTS,,,,,False,1,400128,regret
results/baselines_new/Amazon_NeuralTS_time.npy,baselines_new_file,baseline,Amazon,NeuralTS,,,,,False,1,400128,time
results/baselines_new/Amazon_NeuralUCB_regret.npy,baselines_new_file,baseline,Amazon,NeuralUCB,,,,,False,1,400128,regret
results/baselines_new/Amazon_NeuralUCB_time.npy,baselines_new_file,baseline,Amazon,NeuralUCB,,,,,False,1,400128,time
results/baselines_new/Collab_NeuralGreedy_regret.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralGreedy,,,,,False,1,208,regret;small npy
results/baselines_new/Collab_NeuralGreedy_time.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralGreedy,,,,,False,1,208,time;small npy
results/baselines_new/Collab_NeuralTS_regret.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralTS,,,,,False,1,208,regret;small npy
results/baselines_new/Collab_NeuralTS_time.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralTS,,,,,False,1,208,time;small npy
results/baselines_new/Collab_NeuralUCB_regret.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralUCB,,,,,False,1,208,regret;small npy
results/baselines_new/Collab_NeuralUCB_time.npy,baselines_new_file,incomplete_or_tiny,Collab,NeuralUCB,,,,,False,1,208,time;small npy
results/baselines_new/Facebook_EE-Net_regret.npy,baselines_new_file,baseline,Facebook,EE-Net,,,,,False,1,800128,regret
results/baselines_new/Facebook_EE-Net_time.npy,baselines_new_file,baseline,Facebook,EE-Net,,,,,False,1,800128,time
results/baselines_new/Facebook_NeuralGreedy_regret.npy,baselines_new_file,baseline,Facebook,NeuralGreedy,,,,,False,1,800128,regret
results/baselines_new/Facebook_NeuralGreedy_time.npy,baselines_new_file,baseline,Facebook,NeuralGreedy,,,,,False,1,800128,time
results/baselines_new/Facebook_NeuralTS_regret.npy,baselines_new_file,baseline,Facebook,NeuralTS,,,,,False,1,800128,regret
results/baselines_new/Facebook_NeuralTS_time.npy,baselines_new_file,baseline,Facebook,NeuralTS,,,,,False,1,800128,time
results/baselines_new/Facebook_NeuralUCB_regret.npy,baselines_new_file,baseline,Facebook,NeuralUCB,,,,,False,1,800128,regret
results/baselines_new/Facebook_NeuralUCB_time.npy,baselines_new_file,baseline,Facebook,NeuralUCB,,,,,False,1,800128,time
results/baselines_new/GrQc_EE-Net_regret.npy,baselines_new_file,baseline,GrQc,EE-Net,,,,,False,1,800128,regret
results/baselines_new/GrQc_EE-Net_time.npy,baselines_new_file,baseline,GrQc,EE-Net,,,,,False,1,800128,time
results/baselines_new/GrQc_NeuralGreedy_regret.npy,baselines_new_file,baseline,GrQc,NeuralGreedy,,,,,False,1,800128,regret
results/baselines_new/GrQc_NeuralGreedy_time.npy,baselines_new_file,baseline,GrQc,NeuralGreedy,,,,,False,1,800128,time
results/baselines_new/GrQc_NeuralTS_regret.npy,baselines_new_file,baseline,GrQc,NeuralTS,,,,,False,1,800128,regret
results/baselines_new/GrQc_NeuralTS_time.npy,baselines_new_file,baseline,GrQc,NeuralTS,,,,,False,1,800128,time
results/baselines_new/GrQc_NeuralUCB_regret.npy,baselines_new_file,baseline,GrQc,NeuralUCB,,,,,False,1,800128,regret
results/baselines_new/GrQc_NeuralUCB_time.npy,baselines_new_file,baseline,GrQc,NeuralUCB,,,,,False,1,800128,time
results/baselines_new/MovieLens_EE-Net_regret.npy,baselines_new_file,baseline,MovieLens,EE-Net,,,,,False,1,800128,regret
results/baselines_new/MovieLens_EE-Net_time.npy,baselines_new_file,baseline,MovieLens,EE-Net,,,,,False,1,800128,time
results/baselines_new/MovieLens_KernelUCB_regret.npy,baselines_new_file,incomplete_or_tiny,MovieLens,KernelUCB,,,,,False,1,288,regret;small npy
